img_path,question,ground_truth,model_answer,model_version,rouge_l,biobert_sim,id,accuracy,relevance,fluency,gt_label,pred_label
Test/image_test/test_ncd_2.jpg,"I noticed this specific type of very dark green, liquid fecal output from several of my chickens. What disease does this symptom directly indicate?","This symptom of very dark green, liquid fecal output directly indicates Coccidiosis.","The dark green, liquid fecal output in chickens can be indicative of several potential health issues. One of the most common causes is coccidiosis, a parasitic infection caused by the protozoan Eimeria species. Coccidiosis is a common and often severe problem in poultry, particularly affecting the digestive system system{",base_model,0.22950819672131142,0.916001558303833,0,0,0,0,Other,Other
Test/image_test/test_avian_5.jpg,My chickens sometimes have dull and pale combs. Does this bird's comb show any signs of paleness or cyanosis?,"No, this bird's comb does not show any signs of paleness or cyanosis. It is a uniformly bright red, which indicates good circulation and oxygenation. A pale comb would suggest anemia or systemic illness, while cyanosis would indicate poor oxygenation. This chicken's comb is Healthy.","The bird's comb appears to be a rich, deep red color, which is typical for a healthy comb. There are no visible signs of paleness or cyanosis. The comb looks vibrant and healthy, suggesting that the bird is in good condition.",base_model,0.2696629213483146,0.9628399610519409,1,0,0,0,Other,Other
Test/image_test/test_healthy_6.jpg,What abnormality is visible in this chicken dropping?,"The dropping shows an abnormal dark, reddish-brown, and somewhat lumpy consistency, indicative of Coccidiosis.","The chicken dropping in the picture appears to have a dark, almost blackish coloration, which is unusual for a typical chicken dropping. Chicken droppings usually have a more uniform brown or greenish color. The dark coloration could indicate a variety of issues, such as the the chicken has has ingested something unusual or toxic, or there might is an infection or disease affecting the chicken, or there is a presence of a different type of animal or bacteria in the droppings, or there is a presence of a different type of animal or bacteria in the droppings, or there is a presence of a different type of animal or bacteria in the droppings, or there is a presence of a different type of animal or bacteria in the droppings, or there is a presence of a different type of animal or bacteria in the droppings, or there is a presence of a different type of animal or bacteria in the droppings, or there is a presence of a different type of animal or bacteria in the droppings, or there is a presence of a different type of animal or bacteria in the droppings, or there is a presence of a different type of animal or bacteria in the droppings, or there is a presence of a different type of animal or bacteria in the droppings, or there is a presence of a different type of animal or bacteria in the droppings, or there is a presence of a different type of animal or bacteria in the droppings, or there is a presence of a different type of animal or bacteria in the droppings, or there is a presence of a different type of animal or bacteria in the droppings, or there is a presence of a different type of animal or bacteria in the droppings, or there is a presence of a different type of animal or bacteria in the droppings, or there is a presence of a different type of animal or bacteria in the droppings, or there is a presence of a different type of animal or bacteria in the droppings, or there is a presence of a different type of animal or bacteria in the droppings, or there is a presence of a different type of animal or bacteria in the droppings, or there is a presence of a different type of animal or bacteria in the droppings, or there is a presence of a different type of animal or bacteria in the droppings, or there is a presence of a different type of animal or bacteria in the",base_model,0.026845637583892617,0.6460435390472412,2,0,0,0,Other,Other
Test/image_test/test_crd_2.jpg,This chicken has a puffy face and a closed eye. What is the diagnosis based on these visual symptoms?,The puffy face and closed eye are symptoms of severe conjunctivitis and sinusitis. This is a clear presentation of Chronic Respiratory Disease.,"Based on the visual symptoms of a puffy face and a closed eye, the chicken might be suffering from a condition called ""swollen eye"" or ""conjunctivitis."" This swollen eye is a common condition in chickens that can be caused by various factors such as infection, injury, or irritation. It is important to consult a veterinarian for a proper diagnosis and treatment plan.",base_model,0.23809523809523805,0.9202128052711487,3,0,0,0,Other,Other
Test/image_test/test_spur_3.jpg,My neighbor said this could be a severe infection making the bone grow abnormally. Is that what this is?,"No, this is not an abnormal bone growth due to infection. This is a Spur, a normal anatomical feature. Infections like osteomyelitis would typically present with swelling, heat, pain, and discharge, none of which are visible here. The foot itself appears Healthy.","The image shows a close-up of a bird's claw, which appears to be deformed or abnormal. While it's difficult to diagnose a medical condition without a full medical history and physical examination, the deformity in the the claw could potentially be indicative of a severe infection or other it could be a congenital abnormality. 

It's important to note that only a veterinarian can make an accurate diagnosis, but it's always best to consult with a professional for any health concerns you may have.",base_model,0.0923076923076923,0.9384177923202515,4,0,0,0,Other,Other
fowlpox_head/images/fowlpox_head_327.jpg,I saw some flies around. Are these fly bites that got infected?,"No, this is not consistent with infected fly bites. Fly bites usually result in small, localized puncture marks or mild irritation. They do not develop into these **large, prominent, and distinctively nodular or verrucous (warty) lesions**. The visual evidence strongly indicates **Dry Fowlpox**.","The image shows a close-up of a bat. The area in focus appears to have some redness and swelling, which could be indicative of an infection or an allergic reaction. However, without more context or a clearer view, it's difficult to definitively determine the cause. Bats can carry diseases, and if you have been bitten or scratched by a bat, it's important to seek medical attention immediately.",base_model,0.07079646017699115,0.9188286662101746,5,0,0,0,Other,Other
Test/image_test/test_ncd_head_2.jpg,"Could the chicken's condition, especially these head lesions, be related to Coccidiosis?","No, Coccidiosis primarily affects the intestinal tract, causing symptoms like diarrhea, weight loss, and reduced feed intake, not external skin lesions on the head. Conclusion: This presentation is consistent with Fowlpox.","Yes, the chicken in the the image appears to have lesions on its head, which could be indicative of Coccidiosis. Coccidiosis is a common parasitic infection in chickens caused by the coccidia, a type of protozoan. Symptoms of Coccidiosis can include diarrhea, weight loss, and lesions on the the head, neck, and legs. If you suspect that your chicken has has Coccidiosis, it's important to consult with a veterinarian for proper diagnosis and treatment.",base_model,0.22641509433962265,0.9526878595352173,6,0,0,0,Other,Other
Test/image_test/test_bbf_6.jpg,"What causes the rough, scaly appearance on the chicken's lower leg and toes?","The rough, scaly appearance on the lower leg and toes is caused by microscopic mites burrowing under the scales, leading to the condition known as Scaly Leg Mite.","The rough, scaly appearance on the chicken's lower leg and toes is likely due to a condition called ""bock"" or ""bock foot"". This is a common condition in chickens that is caused by a lack of proper nutrition, especially a lack of calcium and vitamin D. The condition can be treated by providing the chicken with a diet that is high in calcium and vitamin D, and by providing the the chicken with plenty of sunlight.",base_model,0.2857142857142857,0.924962043762207,7,0,0,0,Other,Other
Test/image_test/test_spur_5.jpg,Can you identify any signs of disease on the integument of this chicken's leg?,"The integument of the chicken's leg shows no signs of scaly leg mites, bumblefoot lesions, or other skin abnormalities. This indicates Healthy.","The image shows a chicken's leg, but there are no visible signs of disease on the integument. The skin appears to be healthy and free of any lesions, ulcers, or discolorations that might would indicate a disease.",base_model,0.32786885245901637,0.9520325660705566,8,0,0,0,Other,Other
augmented_images_safe/aug_safe_232_spur_leg_17.jpg,What kind of animal feature is shown in the image?,This image shows a spur on the leg of a chicken.,The image shows a bird's claw.,base_model,0.33333333333333326,0.9444364905357361,9,0,0,0,Other,Other
foot_healthy/images/healthy_leg_487.jpg,Is there any evidence of a Spur Foot condition visible here?,"No, there is **no bony spur or prominent growth** visible on the inner side of the shank in this image, which rules out Spur Foot and confirms a **Healthy Foot**.",The image shows a bird's foot with a condition that appears to be a Spur Foot. This the bird's foot has a condition that appears to be a Spur Foot.,base_model,0.19354838709677422,0.9091134071350098,10,0,0,0,Other,Other
Test/image_test/test_slm_7.jpg,"Which primary biological system is most affected by this condition, and what is the underlying cause of the scale deformation?","The primary biological system affected is the integumentary system, specifically the skin and scales of the legs and feet. The underlying cause of the scale deformation is the burrowing activity of the Scaly Leg Mite (Knemidocoptes mutans). These microscopic mites tunnel into the epidermal layers beneath the scales, causing intense irritation, inflammation, and serum exudation. This reaction leads to hyperkeratosis, where new skin cells are produced excessively and old ones are not shed properly, resulting in the characteristic lifting, thickening, and distortion of the leg scales.","The image shows a chicken's foot with scale deformation, which is most likely affecting the integumentary system. The underlying cause of the scale deformation is likely a condition known as ""scale deformity"" or ""scale disease,"" which can be caused by various factors such as poor nutrition, environmental stress, or certain diseases. This",base_model,0.23021582733812948,0.9393402934074402,11,0,0,0,Other,Other
